"","date","away.jumper","home.jumper","winning.team","away.team","home.team","shoot.first","score.first"
"1",2019-10-22,"Derrick Favors","Marc Gasol","no","no","tor","no","no"
"2",2019-10-22,"JaVale McGee","Ivica Zubac","lal","lal","lac","lal","lal"
"3",2019-10-23,"Wendell Carter Jr.","Cody Zeller","chi","chi","cha","chi","chi"
"4",2019-10-23,"Andre Drummond","Myles Turner","det","det","ind","det","det"
"5",2019-10-23,"Tristan Thompson","Nikola Vucevic","orl","cle","orl","orl","cle"
"6",2019-10-23,"Karl-Anthony Towns","Jarrett Allen","min","min","bkn","min","min"
"7",2019-10-23,"Jaren Jackson Jr.","Bam Adebayo","mem","mem","mia","mia","mia"
"8",2019-10-23,"Enes Kanter","Joel Embiid","bos","bos","phi","bos","phi"
"9",2019-10-23,"Thomas Bryant","Kristaps Porzingis","dal","wsh","dal","dal","dal"
"10",2019-10-23,"Bobby Portis","LaMarcus Aldridge","ny","ny","sa","ny","ny"
"11",2019-10-23,"Steven Adams","Rudy Gobert","okc","okc","utah","utah","utah"
"12",2019-10-23,"Marvin Bagley III","Deandre Ayton","phx","sac","phx","sac","sac"
"13",2019-10-23,"Nikola Jokic","Hassan Whiteside","por","den","por","por","por"
"14",2019-10-24,"Alex Len","Andre Drummond","det","atl","det","atl","atl"
"15",2019-10-24,"Brook Lopez","Clint Capela","hou","mil","hou","hou","hou"
"16",2019-10-24,"Ivica Zubac","Kevon Looney","lac","lac","gs","lac","lac"
"17",2019-10-25,"Marc Gasol","Daniel Theis","tor","tor","bos","tor","tor"
"18",2019-10-25,"Karl-Anthony Towns","Bismack Biyombo","cha","min","cha","cha","cha"
"19",2019-10-25,"Mitchell Robinson","Jarrett Allen","ny","ny","bkn","ny","ny"
"20",2019-10-25,"Wendell Carter Jr.","Jaren Jackson Jr.","mem","chi","mem","mem","mem"
"21",2019-10-25,"Kristaps Porzingis","Derrick Favors","no","dal","no","no","dal"
"22",2019-10-25,"Thomas Bryant","Steven Adams","okc","wsh","okc","okc","okc"
"23",2019-10-25,"Aron Baynes","Nikola Jokic","phx","phx","den","phx","phx"
"24",2019-10-25,"Hassan Whiteside","Dewayne Dedmon","sac","por","sac","sac","por"
